ASSETNUM;NUM_PARQUE;NUM_DISTRITO;NBRE_DISTRITO;NUM_BARRIO;NBRE_BARRIO;X;Y;CODIGO_ESPECIE;ESPECIE;PERIMETRO;ALTURA_TOTAL;ALTURA_TOTAL_NUM
9850684;1;03;RETIRO;035;LOS JERONIMOS;441599.477;4473843.773;AHIB;AESCULUS HIPPOCASTANUM 'BAUMANNII';27;4,5;4.5
9846013;1;03;RETIRO;035;LOS JERONIMOS;442327.722;4474627.964;AHI;AESCULUS HIPPOCASTANUM;132;13;13.0
9852827;1;03;RETIRO;035;LOS JERONIMOS;441849.568;4473915.781;CSI;CERCIS SILIQUASTRUM;114;11;11.0
9857074;1;03;RETIRO;035;LOS JERONIMOS;442274.15;4474155.446;PDA;PLATANUS X HISPANICA;123;15;15.0
9861553;1;03;RETIRO;035;LOS JERONIMOS;441633.623;4473511.176;SJA;STYPHNOLOBIUM JAPONICUM;18;3;3.0
9860376;1;03;RETIRO;035;LOS JERONIMOS;442142.867;4473416.028;LJA;LIGUSTRUM JAPONICUM;67;16;16.0
9860837;1;03;RETIRO;035;LOS JERONIMOS;442118.033;4473559.582;UMI;ULMUS MINOR;79;10;10.0
9855950;1;03;RETIRO;035;LOS JERONIMOS;442121.834;4474364.323;AHI;AESCULUS HIPPOCASTANUM;159;14;14.0
9853266;1;03;RETIRO;035;LOS JERONIMOS;442067.114;4473660.404;AHI;AESCULUS HIPPOCASTANUM;111;10;10.0
9858787;1;03;RETIRO;035;LOS JERONIMOS;442133.698;4474595.682;AHI;AESCULUS HIPPOCASTANUM;137;10,5;10.5
9862167;1;03;RETIRO;035;LOS JERONIMOS;442333.188;4474334.014;SJA;STYPHNOLOBIUM JAPONICUM;22;1,5;1.5
9846802;1;03;RETIRO;035;LOS JERONIMOS;442205.319;4473627.355;AHI;AESCULUS HIPPOCASTANUM;37;4,5;4.5
9846947;1;03;RETIRO;035;LOS JERONIMOS;442526.573;4473609.173;PDA;PLATANUS X HISPANICA;137;14;14.0
9852079;1;03;RETIRO;035;LOS JERONIMOS;441918.279;4473966.46;AHI;AESCULUS HIPPOCASTANUM;22;8,5;8.5
9850601;1;03;RETIRO;035;LOS JERONIMOS;441645.187;4473835.579;UPU;ULMUS PUMILA;76;14;14.0
9851673;1;03;RETIRO;035;LOS JERONIMOS;441910.8;4474062.33;LJA;LIGUSTRUM JAPONICUM;135;8;8.0
9847780;1;03;RETIRO;035;LOS JERONIMOS;442228.928;4473545.338;PHA;PINUS HALEPENSIS;290;25;25.0
9861547;1;03;RETIRO;035;LOS JERONIMOS;441888.407;4473897.932;ACA;ACER CAMPESTRE;17;5;5.0
9858257;1;03;RETIRO;035;LOS JERONIMOS;442189.717;4474121.107;SJA;STYPHNOLOBIUM JAPONICUM;72;9;9.0
9846047;1;03;RETIRO;035;LOS JERONIMOS;442287.628;4474475.858;CSI;CERCIS SILIQUASTRUM;15;3;3.0
9850807;1;03;RETIRO;035;LOS JERONIMOS;441783.41;4473855.087;AHI;AESCULUS HIPPOCASTANUM;135;14;14.0
9860940;1;03;RETIRO;035;LOS JERONIMOS;441755.882;4474413.558;AHI;AESCULUS HIPPOCASTANUM;18;2,5;2.5
9862397;1;03;RETIRO;035;LOS JERONIMOS;441718.743;4474559.849;CSI;CERCIS SILIQUASTRUM;22;1,5;1.5
9852145;1;03;RETIRO;035;LOS JERONIMOS;441840.73;4474034.05;QRU;QUERCUS RUBRA;45;10;10.0
9861628;1;03;RETIRO;035;LOS JERONIMOS;441938.852;4473540.607;PDU;PRUNUS DULCIS;16;1,8;1.8
9853683;1;03;RETIRO;035;LOS JERONIMOS;441863.732;4473656.147;UMI;ULMUS MINOR;126;18;18.0
9862410;1;03;RETIRO;035;LOS JERONIMOS;441587.355;4474353.372;GTR;GLEDITSIA TRIACANTHOS;22;1,5;1.5
9847287;1;03;RETIRO;035;LOS JERONIMOS;441603.408;4473981.405;CEO;CELTIS OCCIDENTALIS;48;9;9.0
9849360;1;03;RETIRO;035;LOS JERONIMOS;441626.231;4474006.338;SJA;STYPHNOLOBIUM JAPONICUM;142;16;16.0
9855320;1;03;RETIRO;035;LOS JERONIMOS;441955.925;4474620.437;SJA;STYPHNOLOBIUM JAPONICUM;118;16;16.0
9854514;1;03;RETIRO;035;LOS JERONIMOS;441737.639;4474367.17;AHI;AESCULUS HIPPOCASTANUM;109;13;13.0
9861754;1;03;RETIRO;035;LOS JERONIMOS;442185.205;4473857.433;APA;ACER PALMATUM;14;3;3.0
9850146;1;03;RETIRO;035;LOS JERONIMOS;441724.247;4473799.055;AJU;ALBIZIA JULIBRISSIN;37;5;5.0
9852540;1;03;RETIRO;035;LOS JERONIMOS;441826.509;4473888.216;BRP;BROUSSONETIA PAPYRIFERA;70;14;14.0
9859395;1;03;RETIRO;035;LOS JERONIMOS;442289.959;4473416.851;CSI;CERCIS SILIQUASTRUM;45;2,5;2.5
9860888;1;03;RETIRO;035;LOS JERONIMOS;442557.772;4473583.932;CAT;CEDRUS ATLANTICA;92;8,5;8.5
9849299;1;03;RETIRO;035;LOS JERONIMOS;441743.676;4473555.281;AHI;AESCULUS HIPPOCASTANUM;113;12;12.0
9857486;1;03;RETIRO;035;LOS JERONIMOS;442331.379;4473902.852;PDA;PLATANUS X HISPANICA;95;14;14.0
9859218;1;03;RETIRO;035;LOS JERONIMOS;442063.648;4474573.458;AHI;AESCULUS HIPPOCASTANUM;91;11;11.0
9858193;1;03;RETIRO;035;LOS JERONIMOS;442276.44;4473831.86;CDE;CEDRUS DEODARA;320;15;15.0
9847182;1;03;RETIRO;035;LOS JERONIMOS;442399.59;4473575.276;CAU;CELTIS AUSTRALIS;45;5;5.0
9858908;1;03;RETIRO;035;LOS JERONIMOS;442139.092;4474669.87;MFL;MALUS FLORIBUNDA;16;3;3.0
9846968;1;03;RETIRO;035;LOS JERONIMOS;441652.372;4473598.618;AHI;AESCULUS HIPPOCASTANUM;116;12;12.0
9849315;1;03;RETIRO;035;LOS JERONIMOS;441652.521;4473484.064;CAU;CELTIS AUSTRALIS;86;10;10.0
9857289;1;03;RETIRO;035;LOS JERONIMOS;442039.141;4474427.658;UMI;ULMUS MINOR;98;13;13.0
9861337;1;03;RETIRO;035;LOS JERONIMOS;441996.237;4474622.011;AHI;AESCULUS HIPPOCASTANUM;20;5;5.0
10052572;1;03;RETIRO;035;LOS JERONIMOS;441616.952;4474039.978;LNO;LAURUS NOBILIS;20;3,5;3.5
9851266;1;03;RETIRO;035;LOS JERONIMOS;441855.626;4474245.075;AHI;AESCULUS HIPPOCASTANUM;41;3,5;3.5
9855183;1;03;RETIRO;035;LOS JERONIMOS;441616.157;4474495.029;AHI;AESCULUS HIPPOCASTANUM;140;10;10.0
9849633;1;03;RETIRO;035;LOS JERONIMOS;441695.726;4473739.274;CSE;CUPRESSUS SEMPERVIRENS;34;6;6.0
9860154;1;03;RETIRO;035;LOS JERONIMOS;442399.083;4473459.72;QIL;QUERCUS ILEX;117;11;11.0
9855415;1;03;RETIRO;035;LOS JERONIMOS;441612.891;4474533.941;AHI;AESCULUS HIPPOCASTANUM;127;11,5;11.5
9856160;1;03;RETIRO;035;LOS JERONIMOS;442233.303;4474252.9;KPA;KOELREUTERIA PANICULATA;41;6;6.0
9857600;1;03;RETIRO;035;LOS JERONIMOS;442050.132;4473969.678;SJA;STYPHNOLOBIUM JAPONICUM;73;9,5;9.5
9856379;1;03;RETIRO;035;LOS JERONIMOS;442178.834;4474393.283;OEU;OLEA EUROPAEA;77;6,5;6.5
9858518;1;03;RETIRO;035;LOS JERONIMOS;442183.0;4473648.748;UMI;ULMUS MINOR;67;9;9.0
9859415;1;03;RETIRO;035;LOS JERONIMOS;442052.087;4474543.338;AHI;AESCULUS HIPPOCASTANUM;92;12;12.0
9860539;1;03;RETIRO;035;LOS JERONIMOS;442146.748;4473459.886;SJA;STYPHNOLOBIUM JAPONICUM;141;10;10.0
9850280;1;03;RETIRO;035;LOS JERONIMOS;441647.236;4473787.361;AHIB;AESCULUS HIPPOCASTANUM 'BAUMANNII';42;6;6.0
9857274;1;03;RETIRO;035;LOS JERONIMOS;442156.376;4473973.493;AHI;AESCULUS HIPPOCASTANUM;145;21;21.0
9853229;1;03;RETIRO;035;LOS JERONIMOS;442022.355;4473816.806;AHI;AESCULUS HIPPOCASTANUM;138;15;15.0
9850019;1;03;RETIRO;035;LOS JERONIMOS;441686.084;4473733.038;CSE;CUPRESSUS SEMPERVIRENS;53;6;6.0
9859338;1;03;RETIRO;035;LOS JERONIMOS;442119.057;4474676.342;AHI;AESCULUS HIPPOCASTANUM;99;12;12.0
9852180;1;03;RETIRO;035;LOS JERONIMOS;441650.273;4474178.139;AHI;AESCULUS HIPPOCASTANUM;48;8;8.0
9856423;1;03;RETIRO;035;LOS JERONIMOS;442022.722;4474421.794;CAU;CELTIS AUSTRALIS;182;11;11.0
9852708;1;03;RETIRO;035;LOS JERONIMOS;441873.791;4473872.977;CAU;CELTIS AUSTRALIS;33;5;5.0
9850925;1;03;RETIRO;035;LOS JERONIMOS;441708.621;4474137.423;GTR;GLEDITSIA TRIACANTHOS;212;13;13.0
9857974;1;03;RETIRO;035;LOS JERONIMOS;442060.064;4473778.606;AHI;AESCULUS HIPPOCASTANUM;179;18;18.0
9854710;1;03;RETIRO;035;LOS JERONIMOS;441634.713;4474447.023;AHI;AESCULUS HIPPOCASTANUM;24;6;6.0
9862216;1;03;RETIRO;035;LOS JERONIMOS;441763.522;4474482.681;PTR;POPULUS TREMULA;68;9;9.0
9849453;1;03;RETIRO;035;LOS JERONIMOS;441606.768;4473915.485;PCP;PRUNUS CERASIFERA  SUBSP. PISSARDII;156;7,5;7.5
9857441;1;03;RETIRO;035;LOS JERONIMOS;442234.447;4473885.751;ABP;ABIES PINSAPO;20;2;2.0
9857003;1;03;RETIRO;035;LOS JERONIMOS;442265.287;4473949.329;AHI;AESCULUS HIPPOCASTANUM;175;20;20.0
9855877;1;03;RETIRO;035;LOS JERONIMOS;442157.021;4474169.746;AHI;AESCULUS HIPPOCASTANUM;74;7,5;7.5
9855208;1;03;RETIRO;035;LOS JERONIMOS;441821.759;4474543.51;AHI;AESCULUS HIPPOCASTANUM;84;9,5;9.5
9857005;1;03;RETIRO;035;LOS JERONIMOS;442063.352;4473917.733;CLE;X CUPRESSOCYPARIS X LEYLANDII;43;5;5.0
9851495;1;03;RETIRO;035;LOS JERONIMOS;441810.243;4474235.504;AHI;AESCULUS HIPPOCASTANUM;78;12;12.0
9858011;1;03;RETIRO;035;LOS JERONIMOS;442065.472;4473783.696;AHI;AESCULUS HIPPOCASTANUM;104;16;16.0
9852628;1;03;RETIRO;035;LOS JERONIMOS;442022.312;4473605.483;PHA;PINUS HALEPENSIS;319;31;31.0
9857699;1;03;RETIRO;035;LOS JERONIMOS;442023.606;4473871.381;AHI;AESCULUS HIPPOCASTANUM;124;11;11.0
9862958;1;03;RETIRO;035;LOS JERONIMOS;441790.916;4473561.88;AHI;AESCULUS HIPPOCASTANUM;126;15;15.0
9849436;1;03;RETIRO;035;LOS JERONIMOS;441732.055;4473968.477;AAL;AILANTHUS ALTISSIMA;97;14;14.0
9857712;1;03;RETIRO;035;LOS JERONIMOS;442185.361;4473727.319;LJA;LIGUSTRUM JAPONICUM;119;12;12.0
9854702;1;03;RETIRO;035;LOS JERONIMOS;441656.282;4474393.503;AHI;AESCULUS HIPPOCASTANUM;103;15;15.0
9862312;1;03;RETIRO;035;LOS JERONIMOS;442257.974;4474125.815;PRC;PRUNUS CERASIFERA;22;1,5;1.5
9850826;1;03;RETIRO;035;LOS JERONIMOS;441846.375;4474102.413;CSI;CERCIS SILIQUASTRUM;172;15;15.0
9857999;1;03;RETIRO;035;LOS JERONIMOS;442026.203;4474015.43;UMI;ULMUS MINOR;97;24;24.0
9846526;1;03;RETIRO;035;LOS JERONIMOS;442361.073;4474401.81;AHI;AESCULUS HIPPOCASTANUM;148;15;15.0
9857027;1;03;RETIRO;035;LOS JERONIMOS;442302.689;4474073.532;PDA;PLATANUS X HISPANICA;162;18;18.0
9855226;1;03;RETIRO;035;LOS JERONIMOS;441775.159;4474372.21;FAN;FRAXINUS ANGUSTIFOLIA;40;8;8.0
9853284;1;03;RETIRO;035;LOS JERONIMOS;441866.349;4473863.168;CSI;CERCIS SILIQUASTRUM;18;4,5;4.5
9847468;1;03;RETIRO;035;LOS JERONIMOS;442148.762;4473627.927;AHI;AESCULUS HIPPOCASTANUM;66;5,5;5.5
9861198;1;03;RETIRO;035;LOS JERONIMOS;442558.722;4473729.942;CAU;CELTIS AUSTRALIS;22;6;6.0
9857710;1;03;RETIRO;035;LOS JERONIMOS;442296.752;4473831.105;PHA;PINUS HALEPENSIS;41;6;6.0
9858817;1;03;RETIRO;035;LOS JERONIMOS;442108.338;4474611.363;AHI;AESCULUS HIPPOCASTANUM;119;11,5;11.5
