ESPECIE;numero_ejemplares;porcentaje_total;altura_media_m;altura_minima_m;altura_maxima_m;mediana_altura_m
AESCULUS HIPPOCASTANUM;5652;34.23;10.75;1.5;30.0;11.0
PLATANUS X HISPANICA;988;5.98;13.46;1.5;32.0;14.0
CERCIS SILIQUASTRUM;687;4.16;5.6;1.0;18.0;5.0
CELTIS AUSTRALIS;614;3.72;7.88;1.5;23.0;6.5
CUPRESSUS SEMPERVIRENS;537;3.25;7.38;1.5;24.0;6.0
GLEDITSIA TRIACANTHOS;495;3.0;12.13;1.5;26.0;12.0
ULMUS MINOR;418;2.53;9.35;1.5;27.0;10.0
STYPHNOLOBIUM JAPONICUM;402;2.43;10.27;1.5;26.0;10.0
PRUNUS DULCIS;343;2.08;3.58;1.5;16.0;3.5
PINUS PINEA;327;1.98;12.59;1.5;30.0;12.0
ULMUS PUMILA;324;1.96;11.62;1.5;25.0;12.0
ACER CAMPESTRE;320;1.94;7.47;1.5;26.0;7.0
LIGUSTRUM JAPONICUM;307;1.86;7.15;1.5;19.0;7.0
QUERCUS ILEX;301;1.82;7.71;1.5;17.0;7.5
ROBINIA PSEUDOACACIA;288;1.74;11.36;1.5;23.0;12.0
CEDRUS ATLANTICA;273;1.65;15.27;1.5;32.0;16.0
PRUNUS CERASIFERA  SUBSP. PISSARDII;251;1.52;4.33;1.5;12.0;4.0
CEDRUS DEODARA;187;1.13;13.87;1.5;30.0;15.0
POPULUS ALBA;157;0.95;14.0;1.5;28.0;15.0
QUERCUS ROBUR;156;0.94;9.12;1.5;26.0;7.25
CELTIS OCCIDENTALIS;147;0.89;8.17;1.5;22.0;8.0
MAGNOLIA GRANDIFLORA;141;0.85;6.68;1.8;15.0;6.5
LIQUIDAMBAR STYRACIFLUA;128;0.78;5.26;1.5;16.0;4.25
PINUS HALEPENSIS;127;0.77;16.37;1.5;32.0;18.0
PYRUS CALLERYANA 'CHANTICLEER';123;0.75;4.43;1.5;9.0;4.0
BROUSSONETIA PAPYRIFERA;119;0.72;8.67;1.5;16.0;9.0
FRAXINUS ANGUSTIFOLIA;103;0.62;9.02;1.5;25.0;6.5
TILIA PLATYPHYLLOS;100;0.61;7.29;1.5;19.0;5.0
GINKGO BILOBA;96;0.58;6.16;1.5;18.0;5.0
LAURUS NOBILIS;92;0.56;2.74;2.6;6.0;2.6
MALUS FLORIBUNDA;87;0.53;3.91;1.5;8.0;4.0
ACER PSEUDOPLATANUS;84;0.51;4.41;1.5;14.5;4.2
POPULUS ALBA 'BOLLEANA';83;0.5;11.35;1.5;23.0;8.0
X CUPRESSOCYPARIS X LEYLANDII;83;0.5;3.68;1.8;7.5;3.0
CRATAEGUS MONOGYNA;76;0.46;4.24;1.5;8.0;4.0
AILANTHUS ALTISSIMA;71;0.43;13.03;1.5;25.0;13.0
ULMUS MINOR 'RESISTA';60;0.36;4.25;1.5;11.0;3.0
ACER NEGUNDO;57;0.35;9.96;1.5;16.0;10.0
PINUS NIGRA;56;0.34;17.59;1.1;25.0;18.0
POPULUS NIGRA;52;0.31;9.24;1.5;23.0;5.0
OLEA EUROPAEA;51;0.31;5.95;1.8;14.0;5.0
CARPINUS BETULUS;50;0.3;5.27;2.0;9.0;5.0
POPULUS TREMULA;48;0.29;9.0;9.0;9.0;9.0
AESCULUS HIPPOCASTANUM 'BAUMANNII';46;0.28;6.57;3.0;15.0;6.25
MORUS NIGRA;45;0.27;4.6;1.5;11.0;4.5
TAXUS BACCATA;43;0.26;5.05;1.0;13.0;4.0
ALBIZIA JULIBRISSIN;41;0.25;4.67;1.5;6.5;4.5
PYRUS CALLERYANA;41;0.25;5.54;4.0;17.0;5.5
ACER MONSPESSULANUM;39;0.24;4.51;1.5;14.5;5.0
TILIA TOMENTOSA;39;0.24;5.1;3.75;6.5;5.0
ULMUS LAEVIS;39;0.24;4.03;3.3;4.2;4.2
KOELREUTERIA PANICULATA;37;0.22;4.42;1.5;8.0;4.0
FRAXINUS EXCELSIOR;35;0.21;10.8;1.5;22.0;12.5
MORUS ALBA;35;0.21;7.13;1.5;20.0;6.0
CUPRESSUS ARIZONICA;33;0.2;9.18;1.5;17.0;10.0
PRUNUS CERASUS;33;0.2;5.59;4.0;7.5;5.5
PRUNUS AVIUM;30;0.18;3.95;1.5;7.5;3.38
QUERCUS PALUSTRIS;29;0.18;5.84;2.25;9.0;6.5
ZELKOVA CARPINIFOLIA;29;0.18;4.09;3.0;6.0;4.0
PUNICA GRANATUM;28;0.17;2.84;1.5;8.0;2.5
CATALPA BIGNONIOIDES;27;0.16;10.11;2.5;17.0;10.0
ABIES PINSAPO;26;0.16;8.71;2.0;21.0;8.0
ACER PLATANOIDES;26;0.16;5.38;1.5;8.0;6.0
JUNIPERUS VIRGINIANA;26;0.16;4.84;1.0;12.0;4.0
LAGERSTROEMIA INDICA;26;0.16;3.19;2.0;5.0;3.0
ACACIA DEALBATA;23;0.14;5.13;2.5;7.5;5.5
EUCALYPTUS CAMALDULENSIS;22;0.13;22.27;15.0;30.0;22.0
ULMUS GLABRA;22;0.13;10.82;3.0;19.0;10.0
TAXODIUM DISTICHUM;21;0.13;7.76;2.75;18.0;8.0
CHAMAECYPARIS LAWSONIANA;19;0.12;7.29;1.5;13.5;7.0
DIOSPYROS LOTUS;19;0.12;9.18;3.0;15.0;8.5
FRAXINUS ORNUS;18;0.11;4.17;2.5;8.5;3.6
CALOCEDRUS DECURRENS;17;0.1;9.74;3.0;17.0;9.5
EUCALYPTUS GLOBULUS;17;0.1;19.21;7.5;25.0;20.0
ACER X FREEMANII;16;0.1;5.34;4.2;7.2;5.0
QUERCUS RUBRA;16;0.1;7.94;5.5;13.0;7.25
ULMUS MINOR 'ADEMUZ';16;0.1;5.0;5.0;5.0;5.0
BETULA PENDULA;15;0.09;4.67;3.0;9.0;4.5
LIRIODENDRON TULIPIFERA;15;0.09;5.43;4.0;7.0;5.5
MALUS SYLVESTRIS;15;0.09;4.1;3.0;7.0;4.0
ACER PLATANOIDES 'CRIMSON KING';14;0.08;4.32;3.5;5.0;4.75
FAGUS SYLVATICA;14;0.08;3.82;2.5;7.0;3.75
MALVA SP;14;0.08;4.04;3.2;4.5;4.5
GYMNOCLADUS DIOICA;13;0.08;12.35;8.0;16.0;13.5
ABIES NORDMANNIANA;12;0.07;9.42;4.0;16.5;10.25
AESCULUS X CARNEA;12;0.07;6.04;3.0;13.0;5.25
PHOTINIA SERRULATA;12;0.07;8.5;6.0;11.0;8.5
SEQUOIA SEMPERVIRENS;12;0.07;16.67;2.5;30.0;16.25
SORBUS AUCUPARIA;12;0.07;2.71;1.5;5.0;2.0
MORUS ALBA 'PENDULA';11;0.07;2.36;2.0;3.0;2.5
ROBINIA HISPIDA;11;0.07;7.09;1.5;9.0;8.5
ACER PALMATUM;10;0.06;3.05;2.0;5.5;3.0
