nombre,categoria,corpus_group,descripcion,fuente
Palacio de Cristal,monumentos,historia_monumentos_jardines,"Pabellón de hierro y cristal construido en 1887 por Ricardo Velázquez Bosco para la Exposición General de Filipinas. Cúpula acristalada de 24 metros. Hoy es sede de exposiciones del Museo Reina Sofía.",Museo Reina Sofía
Palacio de Velázquez,monumentos,historia_monumentos_jardines,"Pabellón construido en 1883 por Ricardo Velázquez Bosco para la Exposición Nacional de Minería, Artes Metalúrgicas, Cerámica, Cristalería y Aguas Minerales. Hoy es sede de exposiciones del Museo Reina Sofía.",Museo Reina Sofía
Monumento a Alfonso XII,monumentos,historia_monumentos_jardines,"Conjunto escultórico junto al Estanque Grande, también conocido como Monumento a la Patria Española, con imponente columnata y vistas al parque.",Ayuntamiento de Madrid
Estanque Grande,jardines,historia_monumentos_jardines,"Estanque monumental de El Retiro donde se pueden alquilar barcas de remo, rodeado por el Monumento a Alfonso XII.",Ayuntamiento de Madrid
La Rosaleda,jardines,historia_monumentos_jardines,"Jardín de rosas inspirado en rosedales europeos como el de Bagatelle (París), creado a principios del siglo XX bajo la dirección de Cecilio Rodríguez.",Ayuntamiento de Madrid
Jardines de Cecilio Rodríguez,jardines,historia_monumentos_jardines,"Espacio cerrado e íntimo con fuentes, setos geométricos, pabellones y una colección de pavos reales.",Ayuntamiento de Madrid
Bosque del Recuerdo,monumentos,historia_monumentos_jardines,"Monumento conmemorativo con 192 árboles plantados en homenaje a las víctimas de los atentados del 11 de marzo de 2004 en Madrid, ubicado en la zona de la Chopera.",Ayuntamiento de Madrid
Fuente del Ángel Caído,monumentos,historia_monumentos_jardines,"Una de las fuentes históricas más destacadas de El Retiro, parte de la estructura de agua original de los Jardines.",Ayuntamiento de Madrid
Fuente de la Alcachofa,monumentos,historia_monumentos_jardines,"Fuente histórica de El Retiro, junto a la Fuente de Galápagos, parte del conjunto monumental del parque.",Ayuntamiento de Madrid
Jardín de Caprichos (Montaña Artificial y Casita del Pescador),jardines,historia_monumentos_jardines,"Jardín creado durante el reinado de Fernando VII, del que se conservan la Montaña Artificial y la Casita del Pescador.",Ayuntamiento de Madrid
